Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NHS,Neuberger Berman High Yield Strategies Fund,$7.59,0.04,0.53%,0.00,United States,,97021,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.74,0.12,1.392%,0.00,United States,2013,98737,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.54,0.05,3.356%,24750880.00,United States,,86863,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.21,0.01,0.313%,0.00,United States,2003,166960,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.61,0.01,0.385%,18833405.00,,2023,156856,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.22,-0.0001,-0.008%,27872808.00,United States,,11706,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$5.28,0.14,2.724%,372339776.00,Canada,2022,365660,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$4.28,0.75,21.246%,3063808.00,United States,,203383,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.56,0.22,5.069%,53584934.00,United States,,27829,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.1799,0.00,0.00%,,United States,,55,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5432,0.0308,6.011%,92371466.00,United States,2007,3039856,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$11.11,-1.24,-10.04%,3612130484.00,,2020,1865853,Basic Materials,Precious Metals
OSTX,OS Therapies Incorporated Common Stock,$1.67,0.04,2.454%,46923154.00,,2024,137998,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$66.00,1.87,2.916%,250080666.00,,,506,Real Estate,Real Estate Investment Trusts
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$21.47,-0.10,-0.464%,,United States,,3321,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.25,-0.09,-0.465%,,United States,,958,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$17.5176,0.00,0.00%,,United States,,120,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.4999,-0.0601,-0.342%,,United States,,2459,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.00,0.3561,2.018%,,United States,,349,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$17.25,0.00,0.00%,,United States,,30,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$15.55,0.0683,0.441%,,United States,,6977,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.49,0.00,0.00%,,United States,,15,,
PED,Pedevco Corp. Common Stock,$0.6434,-0.0066,-1.015%,58767760.00,United States,,30473,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.4691,-0.0209,-4.265%,12279307.00,,2019,681389,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$2.60,-0.45,-14.754%,18935056.00,China,,206818,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.62,0.03,1.887%,167792270.00,Canada,,1412546,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.58,0.06,3.947%,125779242.00,Israel,,468777,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$0.5949,-0.06,-9.162%,10050687.00,United Kingdom,2024,19194,,
PRK,Park National Corporation Common Stock,$162.72,3.28,2.057%,2634655984.00,United States,1994,35080,Finance,Major Banks
PW,Power REIT (MD) Common Stock,$1.16,0.00,0.00%,3932007.00,United States,1998,24642,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.92,0.25,6.812%,,United States,,300,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.5738,-0.0023,-0.399%,40997522.00,United States,2015,172590,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$2.60,0.03,1.167%,0.00,United States,,7931,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$0.7722,0.0341,4.62%,159478225.00,United States,,1881391,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.10,0.63,2.38%,596824276.00,United States,1999,181947,Energy,Oil & Gas Production
RLGT,Radiant Logistics Inc. Common Stock,$5.90,-0.02,-0.338%,278144750.00,United States,,394608,Consumer Discretionary,Oil Refining/Marketing
ROLR,High Roller Technologies Inc. Common Stock,$2.87,-0.19,-6.209%,24185057.00,,2024,40015,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.6653,0.0053,0.803%,19917192.00,United States,2001,6610,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.2074,-0.002,-0.955%,6074710.00,,2024,181614,Consumer Discretionary,Business Services
SACH,Sachem Capital Corp. Common Shares,$1.11,-0.02,-1.77%,52514254.00,United States,2017,149697,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$16.3481,0.4981,3.143%,,United States,,3879,,
SATX,SatixFy Communications Ltd. Ordinary Share,$2.89,0.00,0.00%,250995217.00,,2022,183302,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$3.71,-0.01,-0.269%,5742245.00,,2021,14766,Consumer Staples,Beverages (Production/Distribution)
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.07,-0.18,-0.713%,1186065185.00,United States,2020,3665,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$21.8799,0.90,4.29%,1035141110.00,United States,,1858,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$18.70,-0.05,-0.267%,884699599.00,United States,2022,2075,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$18.90,0.15,0.80%,894161627.00,United States,2022,300,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$19.05,-0.385,-1.981%,901258148.00,United States,2022,3607,Real Estate,Real Estate Investment Trusts
SEB,Seaboard Corporation Common Stock,$2776.04,7.80,0.282%,2695687522.00,United States,1996,2112,Industrials,Farming/Seeds/Milling
SEG,Seaport Entertainment Group Inc. Common Stock,$20.56,0.47,2.339%,261001613.00,United States,2024,113344,Consumer Discretionary,Services-Misc. Amusement & Recreation
SENS,Senseonics Holdings Inc. Common Stock,$0.5269,-0.0014,-0.265%,344745981.00,United States,,5589389,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$5.95,0.00,0.00%,59305917.00,,2018,28570,Health Care,Biotechnology: Pharmaceutical Preparations
SGN,Signing Day Sports Inc. Common Stock,$1.09,-0.02,-1.802%,3948735.00,,2023,2089395,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$3.58,-0.03,-0.831%,22161589.00,United States,1969,4338,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$27.14,-0.325,-1.183%,4170557391.00,Mexico,1998,245,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$1.71,0.03,1.786%,339607715.00,Canada,2021,1576166,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$3.84,0.00,0.00%,207346191.00,United States,,31306,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$4.445,-0.115,-2.522%,731629087.00,,2024,40280,,
SOAR,Volato Group Inc. Class A Common Stock,$2.09,0.05,2.451%,4016815.00,,2022,176462,Consumer Discretionary,Transportation Services
SRXH,SRX Health Solutions Inc. Common Stock,$0.645,-0.003,-0.463%,7525263.00,,2021,325770,Consumer Staples,Beverages (Production/Distribution)
SSY,SunLink Health Systems Inc. Common Stock,$0.8802,0.0302,3.553%,6197139.00,United States,1996,4405,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$10.32,0.19,1.876%,128433380.00,,2023,23986,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.25,0.01,0.446%,193501910.00,United States,,215611,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$4.17,-0.16,-3.695%,908866929.00,Canada,,8788983,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$46.76,0.04,0.086%,119542034.00,United States,1970,20169,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$1.68,-0.04,-2.326%,8882130.00,,2024,9954,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$3.06,0.46,17.692%,966578565.00,Canada,,47347310,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$6.00,0.68,12.782%,151555602.00,,2025,706394,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.955,-0.0066,-0.686%,198530627.00,Canada,,192871,Basic Materials,Metal Mining
TMDE,TMD Energy Limited Ordinary Shares,$0.7885,-0.0017,-0.215%,18581003.00,,2025,53817,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$61.93,1.56,2.584%,893925736.00,United States,1997,42361,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.33,0.01,0.758%,218407825.00,Canada,,342370,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.85,0.017,2.041%,40624662.00,United States,,72437,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$1.79,0.13,7.831%,31325000.00,,2025,2586,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$7.79,0.48,6.566%,36038075.00,Greece,,141186,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.47,-0.001,-0.212%,3847885.00,United States,,410783,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.12,0.03,2.752%,7791497.00,,2023,149198,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$5.13,0.0124,0.242%,22124690.00,United States,1998,27909,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3385,-0.0072,-2.083%,95491075.00,Canada,,463130,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$3.37,0.37,12.333%,397400412.00,United States,,6871779,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.24,0.18,16.981%,17267901.00,United States,,10351756,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.27,0.15,2.451%,2786069152.00,Canada,,8489672,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$7.42,0.90,13.804%,184239861.00,United States,2024,10124081,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$0.8401,0.0101,1.217%,306484660.00,Canada,,3584696,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.8438,0.0018,0.214%,550458739.00,Canada,2017,2279430,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.88,0.33,0.955%,0.00,United States,2004,187495,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.90,-0.02,-0.685%,6707372.00,United States,2003,19598,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.47,-0.11,-1.971%,1150018308.00,Canada,,10987747,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$9.96,0.38,3.967%,373705505.00,United States,2024,25834,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$9.62,-0.03,-0.311%,0.00,United States,1993,31920,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.9628,-0.0372,-3.72%,120186807.00,United States,1986,1135338,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.17,-0.015,-0.183%,362797183.00,United States,1993,83459,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.554,-0.023,-3.986%,57074563.00,Singapore,2015,118044,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$0.2117,0.0066,3.218%,2332362.00,,2018,329463,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.45,-0.06,-1.709%,988827853.00,Canada,2024,2557317,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.235,-0.015,-1.20%,247007605.00,Canada,2011,527632,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.5248,0.0178,3.511%,40099318.00,United States,,713381,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$3.51,0.10,2.933%,34329860.00,United States,,116180,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.6792,0.0042,0.622%,56147371.00,United States,,110577,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.695,-0.0123,-1.739%,96829605.00,United States,,140912,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.9556,-0.0244,-2.49%,8512873.00,United States,2017,58917,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$2.59,-0.02,-0.766%,35917794.00,,2016,86373,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$4.34,0.84,24.00%,36803361.00,,2024,364500,Industrials,Industrial Machinery/Components
